party,candidate,dia_expected_n,source
R,Huckabee,6,https://p2008.org/cands08/endorse08el2.html
R,McCain,51,https://p2008.org/cands08/endorse08el2.html
R,Romney,63,https://p2008.org/cands08/endorse08el2.html
R,Paul,0,https://p2008.org/cands08/endorse08el2.html
R,Guiliani,26,https://p2008.org/cands08/endorse08el2.html
R,Thompson,19,https://p2008.org/cands08/endorse08el2.html
R,Hunter,6,https://p2008.org/cands08/endorse08el2.html
R,Tancredo,0,https://p2008.org/cands08/endorse08el2.html
R,Brownback,2,https://p2008.org/cands08/endorse08el2.html
D,Obama,68,https://p2008.org/cands08/endorse08el2.html
D,Clinton,99,https://p2008.org/cands08/endorse08el2.html
D,Biden,2,https://p2008.org/cands08/endorse08el2.html
D,Dodd,9,https://p2008.org/cands08/endorse08el2.html
D,Kucinich,0,https://p2008.org/cands08/endorse08el2.html
D,Richardson,7,https://p2008.org/cands08/endorse08el2.html
D,Edwards,16,https://p2008.org/cands08/endorse08el2.html
